language,label,count,max_label_count,ratio,F1,augment?,samples_to_generate
tel,dehumanization,62,653,0.095,0.0,True,62
tel,lack_of_empathy,653,653,1.0,0.6292,False,0
tel,invalidation,566,653,0.867,0.4706,False,0
tel,extreme_language,334,653,0.511,,False,0
amh,dehumanization,460,1912,0.241,0.5075,True,460
amh,lack_of_empathy,615,1912,0.322,0.3087,False,0
amh,invalidation,559,1912,0.292,0.3333,False,0
amh,extreme_language,1069,1912,0.559,,False,0
eng,dehumanization,410,897,0.457,0.3871,False,0
eng,lack_of_empathy,375,897,0.418,0.3636,False,0
eng,invalidation,615,897,0.686,0.4932,False,0
eng,extreme_language,811,897,0.904,,False,0
ben,dehumanization,375,844,0.444,0.3146,False,0
ben,lack_of_empathy,66,844,0.078,0.0,True,66
ben,invalidation,62,844,0.073,0.0,True,62
ben,extreme_language,165,844,0.195,,False,0
hau,dehumanization,133,164,0.811,0.2,False,0
hau,lack_of_empathy,34,164,0.207,0.0,True,34
hau,invalidation,9,164,0.055,0.0,True,9
hau,extreme_language,115,164,0.701,,False,0
khm,dehumanization,85,4761,0.018,0.3333,True,85
khm,lack_of_empathy,765,4761,0.161,0.4815,True,765
khm,invalidation,456,4761,0.096,0.3288,True,456
khm,extreme_language,157,4761,0.033,,False,0
pan,dehumanization,396,726,0.545,0.5556,False,0
pan,lack_of_empathy,223,726,0.307,0.3226,False,0
pan,invalidation,439,726,0.605,0.5789,False,0
pan,extreme_language,431,726,0.594,,False,0
arb,dehumanization,388,1322,0.293,0.4762,False,0
arb,lack_of_empathy,604,1322,0.457,0.5094,False,0
arb,invalidation,288,1322,0.218,0.375,True,288
arb,extreme_language,1078,1322,0.815,,False,0
hin,dehumanization,525,1897,0.277,,False,0
hin,lack_of_empathy,1635,1897,0.862,,False,0
hin,invalidation,1897,1897,1.0,,False,0
hin,extreme_language,1457,1897,0.768,,False,0
nep,dehumanization,139,661,0.21,0.6087,False,0
nep,lack_of_empathy,223,661,0.337,0.5,False,0
nep,invalidation,315,661,0.477,0.6364,False,0
nep,extreme_language,571,661,0.864,,False,0
zho,dehumanization,226,1351,0.167,0.5806,True,226
zho,lack_of_empathy,354,1351,0.262,0.4074,False,0
zho,invalidation,215,1351,0.159,0.6154,False,0
zho,extreme_language,365,1351,0.27,,False,0
urd,dehumanization,2081,2422,0.859,0.7544,False,0
urd,lack_of_empathy,2104,2422,0.869,0.7511,False,0
urd,invalidation,2140,2422,0.884,0.7565,False,0
urd,extreme_language,2325,2422,0.96,,False,0
swa,dehumanization,938,3027,0.31,0.3146,False,0
swa,lack_of_empathy,2184,3027,0.722,0.5691,False,0
swa,invalidation,1719,3027,0.568,0.4933,False,0
swa,extreme_language,1756,3027,0.58,,False,0
ori,dehumanization,17,333,0.051,0.0,True,17
ori,lack_of_empathy,39,333,0.117,0.0,True,39
ori,invalidation,84,333,0.252,0.5,False,0
ori,extreme_language,333,333,1.0,,False,0
deu,dehumanization,499,1199,0.416,0.4494,False,0
deu,lack_of_empathy,892,1199,0.744,0.4643,False,0
deu,invalidation,543,1199,0.453,0.3333,False,0
deu,extreme_language,727,1199,0.606,,False,0
spa,dehumanization,310,1062,0.292,0.2078,False,0
spa,lack_of_empathy,828,1062,0.78,0.4531,False,0
spa,invalidation,368,1062,0.347,0.4483,False,0
spa,extreme_language,839,1062,0.79,,False,0
tur,dehumanization,269,1071,0.251,0.4583,False,0
tur,lack_of_empathy,237,1071,0.221,0.3182,True,237
tur,invalidation,100,1071,0.093,0.1333,True,100
tur,extreme_language,1071,1071,1.0,,False,0
fas,dehumanization,149,1983,0.075,0.3158,True,149
fas,lack_of_empathy,341,1983,0.172,0.2326,True,341
fas,invalidation,276,1983,0.139,0.2632,True,276
fas,extreme_language,585,1983,0.295,,False,0
